# azimuth (deg) eta (deg)
0.000000000000000000e+00 7.969028540562734797e-01
3.600360036003600467e-02 7.764309932116907342e-01
7.200720072007200934e-02 7.559591204474577220e-01
1.080108010801080209e-01 7.354872206858369399e-01
1.440144014401440187e-01 7.150153019837330870e-01
1.800180018001800164e-01 6.945433678127852506e-01
2.160216021602160419e-01 6.740714169924988397e-01
2.520252025202520119e-01 6.535994528972640660e-01
2.880288028802880373e-01 6.331274744439623348e-01
3.240324032403240628e-01 6.126554838683199167e-01
3.600360036003600328e-01 5.921834822917749763e-01
3.960396039603960583e-01 5.717114708357402542e-01
4.320432043204320838e-01 5.512394506216282686e-01
4.680468046804679982e-01 5.307674227709536785e-01
5.040504050405040237e-01 5.102953874854144756e-01
5.400540054005401602e-01 4.898233396319515709e-01
5.760576057605760747e-01 4.693512947524344781e-01
6.120612061206119892e-01 4.488792467711641976e-01
6.480648064806481257e-01 4.284071895094933580e-01
6.840684068406841511e-01 4.079351386637900534e-01
7.200720072007200656e-01 3.874630799556283423e-01
7.560756075607560911e-01 3.669910307563837293e-01
7.920792079207921166e-01 3.465189752099986920e-01
8.280828082808281421e-01 3.260469240384794021e-01
8.640864086408641676e-01 3.055748776139761147e-01
9.000900090009000820e-01 2.851028445385661581e-01
9.360936093609359965e-01 2.646308103711572657e-01
9.720972097209722440e-01 2.441587768328621066e-01
1.008100810081008047e+00 2.236867600832902203e-01
1.044104410441044184e+00 2.032147537381523705e-01
1.080108010801080320e+00 1.827427589192428814e-01
1.116111611161116235e+00 1.622707686073829592e-01
1.152115211521152149e+00 1.417987915805981602e-01
1.188118811881188064e+00 1.213268380926914441e-01
1.224122412241223978e+00 1.008548924730698904e-01
1.260126012601260337e+00 8.038296357690663529e-02
1.296129612961296251e+00 5.991105298369057974e-02
1.332133213321332166e+00 3.943915402621576277e-02
1.368136813681368302e+00 1.896728337862916766e-02
1.404140414041404217e+00 -1.504565600550826759e-03
1.440144014401440131e+00 -2.197639994302173425e-02
1.476147614761476268e+00 -4.244821037624531973e-02
1.512151215121512182e+00 -6.291999601709605261e-02
1.548154815481548319e+00 -8.339175524201526690e-02
1.584158415841584233e+00 -1.038634873822722599e-01
1.620162016201620148e+00 -1.243351990720969885e-01
1.656165616561656284e+00 -1.448068732259313596e-01
1.692169216921692199e+00 -1.652785248542887053e-01
1.728172817281728335e+00 -1.857501446748855700e-01
1.764176417641764250e+00 -2.062217315659530259e-01
1.800180018001800164e+00 -2.266932844057476526e-01
1.836183618361836301e+00 -2.471648020724750150e-01
1.872187218721871993e+00 -2.676362916146768911e-01
1.908190819081908129e+00 -2.881077437143204079e-01
1.944194419441944488e+00 -3.085791572830451912e-01
1.980198019801980180e+00 -3.290505311171512126e-01
2.016201620162016095e+00 -3.495218641238507784e-01
2.052205220522052453e+00 -3.699931633586573954e-01
2.088208820882088368e+00 -3.904644195254967642e-01
2.124212421242124282e+00 -4.109356315027780648e-01
2.160216021602160641e+00 -4.314067981689104769e-01
2.196219621962196111e+00 -4.518779184023031803e-01
2.232223222322232470e+00 -4.723489990177907605e-01
2.268226822682268384e+00 -4.928200311837108161e-01
2.304230423042304299e+00 -5.132910132586935292e-01
2.340234023402340657e+00 -5.337619446897803321e-01
2.376237623762376128e+00 -5.542328319280267479e-01
2.412241224122412486e+00 -5.747036577705503246e-01
2.448244824482447957e+00 -5.951744374766093637e-01
2.484248424842484315e+00 -6.156451699289893220e-01
2.520252025202520674e+00 -6.361158371778863341e-01
2.556255625562556144e+00 -6.565864553512826829e-01
2.592259225922592503e+00 -6.770570147161466545e-01
2.628262826282628417e+00 -6.975275136359174732e-01
2.664266426642664332e+00 -7.179979596568045741e-01
2.700270027002700246e+00 -7.384683440236824437e-01
2.736273627362736605e+00 -7.589386645118675334e-01
2.772277227722772519e+00 -7.794089205398780917e-01
2.808280828082808434e+00 -7.998791191929467415e-01
2.844284428442844348e+00 -8.203492422777663995e-01
2.880288028802880262e+00 -8.408193145943432256e-01
2.916291629162916621e+00 -8.612893097621133753e-01
2.952295229522952535e+00 -8.817592423452950134e-01
2.988298829882988450e+00 -9.022291036996745728e-01
3.024302430243024364e+00 -9.226988934873754378e-01
3.060306030603060279e+00 -9.431686172620786790e-01
3.096309630963096637e+00 -9.636382664486272676e-01
3.132313231323132108e+00 -9.841078399263717413e-01
3.168316831683168466e+00 -1.004577344794691962e+00
3.204320432043204825e+00 -1.025046762590111404e+00
3.240324032403240295e+00 -1.045516118640710479e+00
3.276327632763276654e+00 -1.065985385328893198e+00
3.312331233123312568e+00 -1.086454579862986991e+00
3.348334833483348483e+00 -1.106923690969401131e+00
3.384338433843384397e+00 -1.127392726709213422e+00
3.420342034203420312e+00 -1.147861669507289628e+00
3.456345634563456670e+00 -1.168330542932073612e+00
3.492349234923492585e+00 -1.188799321174942358e+00
3.528352835283528499e+00 -1.209268019579095021e+00
3.564356435643564414e+00 -1.229736627645901859e+00
3.600360036003600328e+00 -1.250205154763012194e+00
3.636363636363636687e+00 -1.270673589257230507e+00
3.672367236723672601e+00 -1.291141931156520206e+00
3.708370837083708960e+00 -1.311610188826732193e+00
3.744374437443743986e+00 -1.332078350444752646e+00
3.780378037803780344e+00 -1.352546414818051712e+00
3.816381638163816259e+00 -1.373014391634776787e+00
3.852385238523852617e+00 -1.393482270264369438e+00
3.888388838883888976e+00 -1.413950057834757912e+00
3.924392439243924890e+00 -1.434417743591112737e+00
3.960396039603960361e+00 -1.454885327756658020e+00
3.996399639963996275e+00 -1.475352818903268526e+00
