t, a_pc, e_pc, src_dist (km), dlos (km), min_alt (km), max_alt (km), wavelength (nm), I0, DoLP (%), AoRD (°):
0,0.0,45.0,None,0.1,0.0,10.0,557.7,0.00013284101807730059,13.429728977201094,-0.1418653262362267
0,10.0,45.0,None,0.1,0.0,10.0,557.7,0.00013146441374270744,11.794991113682867,-3.75556513632987
0,20.0,45.0,None,0.1,0.0,10.0,557.7,0.0001302444750286038,10.244522411971026,-7.081769047712457
0,29.999999999999996,45.0,None,0.1,0.0,10.0,557.7,0.0001291965909427143,8.705970100686155,-10.324807130599577
0,40.0,45.0,None,0.1,0.0,10.0,557.7,0.0001283333554159524,7.272790112851293,-13.295035723718017
0,50.0,45.0,None,0.1,0.0,10.0,557.7,0.0001276512112689824,5.688164047577614,-15.945795335295202
0,59.99999999999999,45.0,None,0.1,0.0,10.0,557.7,0.00012712991793345017,4.122626541066841,-17.416025603533168
0,70.0,45.0,None,0.1,0.0,10.0,557.7,0.00012673727148253172,2.712126194199143,-14.998756337690738
0,80.0,45.0,None,0.1,0.0,10.0,557.7,0.00012643535858478642,1.7588140213940022,-1.598240109706207
0,90.0,45.0,None,0.1,0.0,10.0,557.7,0.00012618949946956087,2.2333281540942074,18.822679789802873
0,100.0,45.0,None,0.1,0.0,10.0,557.7,0.00012597858870482242,3.637694374297254,25.00634783264561
0,110.0,45.0,None,0.1,0.0,10.0,557.7,0.00012579698280301734,5.407957605328711,24.387118894593495
0,119.99999999999999,45.0,None,0.1,0.0,10.0,557.7,0.00012564518433711978,7.417579051388589,22.0401253979145
0,130.0,45.0,None,0.1,0.0,10.0,557.7,0.00012552809712056617,9.711038118967604,18.480095327577857
0,140.0,45.0,None,0.1,0.0,10.0,557.7,0.00012547597231424423,12.264217720389613,14.190172214942855
0,150.0,45.0,None,0.1,0.0,10.0,557.7,0.0001255732136137873,14.980235610695928,9.403973913126324
0,160.0,45.0,None,0.1,0.0,10.0,557.7,0.00012596706944048615,17.695500402956615,3.883238491185112
0,170.0,45.0,None,0.1,0.0,10.0,557.7,0.00012684638841202925,20.156269127900543,-1.922322046970642
0,180.0,45.0,None,0.1,0.0,10.0,557.7,0.00012840326275576948,22.164640914605382,-8.210848461789752
0,190.0,45.0,None,0.1,0.0,10.0,557.7,0.00013079450888021064,23.570110517425217,-14.971669821789261
0,200.0,45.0,None,0.1,0.0,10.0,557.7,0.00013410403107568878,24.211391096451607,-22.24210529632171
0,210.00000000000003,45.0,None,0.1,0.0,10.0,557.7,0.00013829516404743498,24.11400762230306,-30.117046282318224
0,220.0,45.0,None,0.1,0.0,10.0,557.7,0.00014315324652518433,23.21765985661456,-38.87688845770245
0,230.0,45.0,None,0.1,0.0,10.0,557.7,0.00014823808029622233,21.629433588455665,-49.31811014438785
0,239.99999999999997,45.0,None,0.1,0.0,10.0,557.7,0.0001528868899782012,19.883811818300003,-61.25109164046743
0,250.00000000000003,45.0,None,0.1,0.0,10.0,557.7,0.0001563293440860793,18.268892291798796,-74.85764966060799
0,260.0,45.0,None,0.1,0.0,10.0,557.7,0.00015793544475561428,17.271765218116,-89.79437671514697
0,270.0,45.0,None,0.1,0.0,10.0,557.7,0.0001574826712543635,17.14409430286238,74.74909333047472
0,280.0,45.0,None,0.1,0.0,10.0,557.7,0.00015524664777436239,17.903724343251792,60.450313216287284
0,290.0,45.0,None,0.1,0.0,10.0,557.7,0.0001518451258006247,18.878063518883085,47.91583109039901
0,300.0,45.0,None,0.1,0.0,10.0,557.7,0.0001479764823201314,19.72949184101866,37.33438524214622
0,310.0,45.0,None,0.1,0.0,10.0,557.7,0.00014422360682117444,20.111706232724746,28.08208190308031
0,320.0,45.0,None,0.1,0.0,10.0,557.7,0.0001409545935417132,19.709610880369205,20.237451682551317
0,330.0,45.0,None,0.1,0.0,10.0,557.7,0.00013829138210105367,18.53123771656303,13.766427632292585
0,340.0,45.0,None,0.1,0.0,10.0,557.7,0.00013615524851162382,16.927400056070443,8.193382557709652
0,350.0,45.0,None,0.1,0.0,10.0,557.7,0.00013438323686194728,15.176300067250292,3.72830195380607

