t, a_pc, e_pc, src_dist (km), dlos (km), min_alt (km), max_alt (km), wavelength (nm), I0, DoLP (%), AoRD (°):
0,0.0,45.0,None,0.1,0.0,10.0,557.7,4.176135310366071e-05,18.561353501500445,-1.0109092797590697
0,10.0,45.0,None,0.1,0.0,10.0,557.7,3.9942462706246044e-05,14.631121601958155,-3.919061371024336
0,20.0,45.0,None,0.1,0.0,10.0,557.7,3.800284695185935e-05,11.252270901884817,-5.778300222947298
0,29.999999999999996,45.0,None,0.1,0.0,10.0,557.7,3.552253122209098e-05,8.995059580417378,-9.848995620524665
0,40.0,45.0,None,0.1,0.0,10.0,557.7,3.323397986889986e-05,6.580084229935589,-12.661851732792687
0,50.0,45.0,None,0.1,0.0,10.0,557.7,3.151742158192087e-05,4.276836687340384,-14.273133705504685
0,59.99999999999999,45.0,None,0.1,0.0,10.0,557.7,3.0078314920152268e-05,2.4077654432304763,-11.618326993169013
0,70.0,45.0,None,0.1,0.0,10.0,557.7,2.876743863301436e-05,1.3559341653572747,11.223944885048438
0,80.0,45.0,None,0.1,0.0,10.0,557.7,2.795446562974084e-05,2.460653727070558,36.454476178696076
0,90.0,45.0,None,0.1,0.0,10.0,557.7,2.7674638359371256e-05,4.661290534249796,39.956475385348654
0,100.0,45.0,None,0.1,0.0,10.0,557.7,2.7618251822251195e-05,6.940858991689634,36.28215239571547
0,110.0,45.0,None,0.1,0.0,10.0,557.7,2.7798943332603397e-05,9.119644798417456,31.433883834962664
0,119.99999999999999,45.0,None,0.1,0.0,10.0,557.7,2.7783090485018446e-05,12.304659630026483,26.753647290982148
0,130.0,45.0,None,0.1,0.0,10.0,557.7,2.8125818734613457e-05,16.519804490234915,22.188857983220956
0,140.0,45.0,None,0.1,0.0,10.0,557.7,2.878507416754695e-05,21.801518833992645,17.233301970742463
0,150.0,45.0,None,0.1,0.0,10.0,557.7,2.949313983651022e-05,28.489818862484533,10.975979098050153
0,160.0,45.0,None,0.1,0.0,10.0,557.7,3.084848050059298e-05,35.096164862119196,4.25493701245917
0,170.0,45.0,None,0.1,0.0,10.0,557.7,3.21379792172023e-05,41.703571520287625,-3.015989937585977
0,180.0,45.0,None,0.1,0.0,10.0,557.7,3.391543412823038e-05,47.084368227579034,-10.300381505641202
0,190.0,45.0,None,0.1,0.0,10.0,557.7,3.61983075756458e-05,50.95834698619159,-17.84450012399682
0,200.0,45.0,None,0.1,0.0,10.0,557.7,3.9113854685456865e-05,53.211201745565766,-25.739725860747935
0,210.00000000000003,45.0,None,0.1,0.0,10.0,557.7,4.2912230785621637e-05,53.79659034888557,-34.01466669015224
0,220.0,45.0,None,0.1,0.0,10.0,557.7,4.7362809661980065e-05,52.09300055495177,-42.990870460111005
0,230.0,45.0,None,0.1,0.0,10.0,557.7,5.1921190879101086e-05,49.34821729395201,-53.39965025302104
0,239.99999999999997,45.0,None,0.1,0.0,10.0,557.7,5.640985547352111e-05,46.40233611939385,-64.7543158087681
0,250.00000000000003,45.0,None,0.1,0.0,10.0,557.7,6.086770499052273e-05,43.882500718760255,-77.72801769426428
0,260.0,45.0,None,0.1,0.0,10.0,557.7,6.28573237291193e-05,41.909970582636575,89.17954663784013
0,270.0,45.0,None,0.1,0.0,10.0,557.7,6.292240068355734e-05,41.009647819740366,75.72748414276958
0,280.0,45.0,None,0.1,0.0,10.0,557.7,6.154572562543916e-05,41.068238263231706,62.851140644912775
0,290.0,45.0,None,0.1,0.0,10.0,557.7,5.91226273509894e-05,41.02603281528969,50.996198333046124
0,300.0,45.0,None,0.1,0.0,10.0,557.7,5.6341868749178926e-05,40.70255396603932,40.51439891665564
0,310.0,45.0,None,0.1,0.0,10.0,557.7,5.3152295079921444e-05,39.41065047953132,30.78561120415615
0,320.0,45.0,None,0.1,0.0,10.0,557.7,4.997725433036384e-05,36.280611767049066,22.0524437423759
0,330.0,45.0,None,0.1,0.0,10.0,557.7,4.765256388313304e-05,32.253363978749704,14.882625699292396
0,340.0,45.0,None,0.1,0.0,10.0,557.7,4.5915758284602234e-05,26.768506067301605,8.924080489376385
0,350.0,45.0,None,0.1,0.0,10.0,557.7,4.3761804327251724e-05,22.60949489525324,3.8241328717889247

